epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.3903,0.38011,1.25375,1.10389,0.26723,0.47436,0.33074,0.12954,2.22037,3.33836,2.0606,0.000653061,0.000653061,0.000653061
2,63.9868,0.19483,0.57244,0.9504,0.95544,0.96795,0.99061,0.91823,0.4476,1.04517,0.79733,0.0012544,0.0012544,0.0012544
3,94.9429,0.19812,0.47669,0.94296,0.87669,0.94794,0.9569,0.45178,1.16752,1.51822,1.33249,0.00178974,0.00178974,0.00178974
4,124.923,0.18635,0.40545,0.93834,0.99967,1,0.995,0.99227,0.35585,0.58116,0.66585,0.001703,0.001703,0.001703
